2026/07/12 22:04:52 [SERVER] Vector 已启用, PID=11036
2026/07/12 22:25:49 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:26:17 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:26:44 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:27:12 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:27:39 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:28:09 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:28:37 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:29:05 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:29:32 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:29:59 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:30:26 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:30:54 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:31:24 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:31:51 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:32:18 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:32:48 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:33:15 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:33:45 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:34:11 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:34:41 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:35:12 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
